ID,Ime,Priimek,Rojstvo,Račun,Cenilec,Kraj,Ocena,Cena
1606020960499,Nathaniel,Yang,13.10.2019,375576772432916,0,Andenne,4,22
1653042384999,Nehru,Gillespie,1.11.2019,375614701259041,1,Yellowhead County,4,20
1683092965799,Brady,Patton,28.11.2018,370985272556592,1,San Chirico Nuovo,3,95
1625023048599,Lance,Hyde,21.02.2020,370156738604158,1,Castor,5,24
1611111754199,Rooney,Atkins,10.12.2019,377832331926650,1,Sint-Michiels,5,141
1635091892299,Brett,Dixon,18.12.2018,343386374510914,0,Grand-Rosre-Hottomont,6,120
1658101790399,Hayes,Woodward,9.07.2019,372017955117647,0,Merritt,8,146
1646070774099,Griffin,Kennedy,12.01.2020,373704573276934,1,Castri di Lecce,4,103
1660052797499,Kermit,Burns,12.03.2020,379982981418405,1,Linlithgow,3,56
1617100273499,Drake,Mcleod,27.10.2019,343844032735117,0,Vlimmeren,1,86
1675071752299,Vance,James,1.08.2018,342914519257470,0,Fauvillers,9,77
1648021490399,Carson,Mcdowell,28.10.2019,344486308492772,1,Kisi,3,49
1607103035299,Chaney,Lester,20.05.2019,377642975192331,1,Linkhout,6,56
1699031152899,Tate,Sanchez,11.12.2019,347155153830868,1,Sromness,4,52
1616091994499,Alexander,Myers,28.06.2019,349528129588372,1,Saint-Prime,4,58
1619091888999,Basil,Richards,26.06.2019,343574238865828,0,Gonnosfanadiga,5,106
1690061834199,Leo,Henry,7.01.2019,342395783699433,1,Gellik,5,42
1608121442499,Reece,Mcclure,13.01.2019,345041374038576,1,Gladstone,2,44
1640010777999,Damian,Ortega,18.03.2020,348025931050163,1,Papudo,2,80
1622102573899,Brett,Norton,14.09.2019,349270085053790,0,San Valentino in Abruzzo Citeriore,4,79
1616101227799,Camden,Mclaughlin,1.03.2019,376967889946956,1,Montliard,10,62
1635032367199,Elmo,Cabrera,27.08.2018,349266282489357,1,Lleida,4,68
1635071569599,Ciaran,Rivera,16.09.2019,340975529010615,1,Rionero in Vulture,9,139
1692013025399,Gabriel,Goodman,7.11.2018,346422961688776,1,Widooie,4,48
1692060878899,Stuart,Galloway,15.03.2020,373673421330914,0,Frankfurt am Main,4,131
1634011070199,Wyatt,Cross,8.09.2018,379368116139316,0,Knoxville,3,30
1684112170999,Jack,Allen,30.04.2020,379835789609056,1,Nordhorn,1,51
1678062402699,Charles,Pollard,29.06.2018,371000473824382,0,Caerphilly,10,86
1614032862199,Vance,Osborne,28.10.2019,374305603586737,0,Warszawa,10,48
1629111486499,Anthony,Pitts,21.01.2020,347571239518774,1,Daiano,3,82
1627090803599,Brian,Daugherty,9.02.2020,374239095281780,1,Tracadie-Shelia,1,85
1604121056699,Berk,Palmer,1.02.2020,348544151777628,1,Jacksonville,3,60
1633122602899,Elijah,Gutierrez,8.12.2018,379337771969135,1,Longueville,9,143
1629060707299,Kenyon,Sharp,7.05.2019,341841400730342,0,Henis,3,78
1693032636199,Gil,Rocha,4.12.2018,345309424236163,1,Bertogne,7,70
1669111290199,Caesar,Hanson,28.08.2018,375622119873006,1,Camrose,1,57
1613122534299,Graiden,Maynard,3.04.2020,349696967216412,0,Telford,1,80
1694081140999,Tucker,Dudley,23.10.2019,344014416953954,1,Reyhand,5,123
1646061583099,Hu,Glass,19.05.2018,375502206717060,1,San Juan de Dios,2,83
1679033065399,Kelly,Garner,19.04.2020,374916956487016,1,Manisa,9,20
1601111424299,Tobias,Howell,14.01.2019,340864601733478,0,Lakewood,6,61
1664041789599,Clark,Peters,31.03.2019,345454340154171,0,Wichelen,1,46
1679042541799,Caesar,Dixon,30.07.2018,342664531949782,1,Perquenco,6,108
1695060908999,Ralph,Murphy,9.10.2019,378450867158967,0,Camarones,1,121
1624020546899,Hall,Herring,7.07.2018,379225458931090,1,Junagadh,8,131
1660030272799,Alec,Fuller,8.07.2019,347278653736839,1,Artena,2,85
1614102607199,Erasmus,Vincent,8.06.2018,370885675083741,1,Floreffe,3,30
1677062051199,Paki,Brennan,11.04.2019,347553302550603,1,Vilna,8,116
1646032212399,Bruno,Smith,19.09.2019,378127515954068,0,Santa Juana,8,52
1662111731499,Tiger,Whitaker,24.04.2020,345759435899310,1,Rio Grande,9,39
1620072923499,Luke,Vincent,25.07.2018,345758799492688,0,Wernigerode,2,144
1654101823399,Nash,Mcdonald,2.06.2018,342108496939073,0,Loughborough,3,79
1691062451999,Noble,Witt,29.06.2018,376948892569365,0,Soma,10,139
1657090108399,Gary,Moore,16.06.2019,346721618762268,0,Bowling Green,2,146
